user_id,age,occupation,monthly_income,is_variable_income,date,amount,type,category,merchant,payment_mode,recurring,day_type,persona_label,year_month,running_balance,month,day,day_of_week,is_weekend
user_001_v1,24,Software Engineer,85000,False,2025-10-01,85000,Income,Salary,Tech Corp,Bank Transfer,False,Weekday,salaried_low,2025-10,85000,10,1,Wednesday,False
user_001_v1,24,Software Engineer,85000,False,2025-10-02,-1354,Expense,Food,Swiggy,Upi,False,Weekday,salaried_low,2025-10,83646,10,2,Thursday,False
user_001_v1,24,Software Engineer,85000,False,2025-10-03,-394,Expense,Food,Starbucks,Credit Card,False,Weekday,salaried_low,2025-10,83252,10,3,Friday,False
user_001_v1,24,Software Engineer,85000,False,2025-10-05,-16925,Expense,Rent,Landlord,Bank Transfer,True,Weekend,salaried_low,2025-10,66327,10,5,Sunday,True
user_001_v1,24,Software Engineer,85000,False,2025-10-06,-2820,Expense,Shopping,Amazon,Credit Card,False,Weekday,salaried_low,2025-10,63507,10,6,Monday,False
user_001_v1,24,Software Engineer,85000,False,2025-10-07,-3949,Expense,Entertainment,Pvr Cinemas,Debit Card,False,Weekday,salaried_low,2025-10,59558,10,7,Tuesday,False
user_001_v1,24,Software Engineer,85000,False,2025-10-08,-4739,Expense,Food,Restaurant,Credit Card,False,Weekday,salaried_low,2025-10,54819,10,8,Wednesday,False
user_001_v1,24,Software Engineer,85000,False,2025-10-10,-224,Expense,Subscriptions,Netflix,Credit Card,True,Weekday,salaried_low,2025-10,54595,10,10,Friday,False
user_001_v1,24,Software Engineer,85000,False,2025-10-10,-337,Expense,Subscriptions,Spotify,Upi,True,Weekday,salaried_low,2025-10,54258,10,10,Friday,False
user_001_v1,24,Software Engineer,85000,False,2025-10-12,-959,Expense,Food,Zomato,Upi,False,Weekend,salaried_low,2025-10,53299,10,12,Sunday,True
user_001_v1,24,Software Engineer,85000,False,2025-10-14,-7334,Expense,Shopping,Myntra,Credit Card,False,Weekday,salaried_low,2025-10,45965,10,14,Tuesday,False
user_001_v1,24,Software Engineer,85000,False,2025-10-15,-203,Expense,Transport,Uber,Upi,False,Weekday,salaried_low,2025-10,45762,10,15,Wednesday,False
user_001_v1,24,Software Engineer,85000,False,2025-10-16,-5641,Expense,Investment,Mutual Fund,Bank Transfer,True,Weekday,salaried_low,2025-10,40121,10,16,Thursday,False
user_001_v1,24,Software Engineer,85000,False,2025-10-18,-1692,Expense,Health,Pharmacy,Upi,False,Weekend,salaried_low,2025-10,38429,10,18,Saturday,True
user_001_v1,24,Software Engineer,85000,False,2025-10-20,-9590,Expense,Travel,Makemytrip,Credit Card,False,Weekday,salaried_low,2025-10,28839,10,20,Monday,False
user_001_v1,24,Software Engineer,85000,False,2025-10-22,-507,Expense,Food,Cafe Coffee Day,Debit Card,False,Weekday,salaried_low,2025-10,28332,10,22,Wednesday,False
user_001_v1,24,Software Engineer,85000,False,2025-10-25,-2482,Expense,Utilities,Electricity Board,Upi,True,Weekend,salaried_low,2025-10,25850,10,25,Saturday,True
user_001_v1,24,Software Engineer,85000,False,2025-10-28,-3610,Expense,Shopping,Flipkart,Credit Card,False,Weekday,salaried_low,2025-10,22240,10,28,Tuesday,False
user_001_v1,24,Software Engineer,85000,False,2025-11-01,85000,Income,Salary,Tech Corp,Bank Transfer,True,Weekend,salaried_low,2025-11,107240,11,1,Saturday,True
user_001_v1,24,Software Engineer,85000,False,2025-11-03,-665,Expense,Transport,Transport Vendor,Cash,False,Weekday,salaried_low,2025-11,106575,11,3,Monday,False
user_001_v1,24,Software Engineer,85000,False,2025-11-03,-1126,Expense,Transport,Transport Vendor,Upi,False,Weekday,salaried_low,2025-11,105449,11,3,Monday,False
user_001_v1,24,Software Engineer,85000,False,2025-11-05,-21937,Expense,Rent,Landlord,Bank Transfer,True,Weekday,salaried_low,2025-11,83512,11,5,Wednesday,False
user_001_v1,24,Software Engineer,85000,False,2025-11-10,-513,Expense,Subscriptions,Netflix,Credit Card,True,Weekday,salaried_low,2025-11,82999,11,10,Monday,False
user_001_v1,24,Software Engineer,85000,False,2025-11-10,-284,Expense,Subscriptions,Spotify,Credit Card,True,Weekday,salaried_low,2025-11,82715,11,10,Monday,False
user_001_v1,24,Software Engineer,85000,False,2025-11-11,-4880,Expense,Investment,Investment Vendor,Bank Transfer,False,Weekday,salaried_low,2025-11,77835,11,11,Tuesday,False
user_001_v1,24,Software Engineer,85000,False,2025-11-16,-5310,Expense,Investment,Mutual Fund,Upi,True,Weekend,salaried_low,2025-11,72525,11,16,Sunday,True
user_001_v1,24,Software Engineer,85000,False,2025-11-19,-4438,Expense,Investment,Investment Vendor,Bank Transfer,False,Weekday,salaried_low,2025-11,68087,11,19,Wednesday,False
user_001_v1,24,Software Engineer,85000,False,2025-11-19,-1160,Expense,Entertainment,Entertainment Vendor,Upi,False,Weekday,salaried_low,2025-11,66927,11,19,Wednesday,False
user_001_v1,24,Software Engineer,85000,False,2025-11-25,-1472,Expense,Utilities,Electricity Board,Bank Transfer,True,Weekday,salaried_low,2025-11,65455,11,25,Tuesday,False
user_001_v1,24,Software Engineer,85000,False,2025-11-27,-9003,Expense,Investment,Investment Vendor,Upi,False,Weekday,salaried_low,2025-11,56452,11,27,Thursday,False
user_001_v1,24,Software Engineer,85000,False,2025-12-01,85000,Income,Salary,Tech Corp,Bank Transfer,True,Weekday,salaried_low,2025-12,141452,12,1,Monday,False
user_001_v1,24,Software Engineer,85000,False,2025-12-04,-1507,Expense,Food,Food Vendor,Upi,False,Weekday,salaried_low,2025-12,139945,12,4,Thursday,False
user_001_v1,24,Software Engineer,85000,False,2025-12-05,-34163,Expense,Rent,Landlord,Bank Transfer,True,Weekday,salaried_low,2025-12,105782,12,5,Friday,False
user_001_v1,24,Software Engineer,85000,False,2025-12-08,-2243,Expense,Health,Health Vendor,Upi,False,Weekday,salaried_low,2025-12,103539,12,8,Monday,False
user_001_v1,24,Software Engineer,85000,False,2025-12-10,-333,Expense,Subscriptions,Netflix,Credit Card,True,Weekday,salaried_low,2025-12,103206,12,10,Wednesday,False
user_001_v1,24,Software Engineer,85000,False,2025-12-10,-931,Expense,Subscriptions,Spotify,Credit Card,True,Weekday,salaried_low,2025-12,102275,12,10,Wednesday,False
user_001_v1,24,Software Engineer,85000,False,2025-12-11,-10981,Expense,Shopping,Shopping Vendor,Debit Card,False,Weekday,salaried_low,2025-12,91294,12,11,Thursday,False
user_001_v1,24,Software Engineer,85000,False,2025-12-16,-12776,Expense,Investment,Mutual Fund,Upi,True,Weekday,salaried_low,2025-12,78518,12,16,Tuesday,False
user_001_v1,24,Software Engineer,85000,False,2025-12-19,-1542,Expense,Entertainment,Entertainment Vendor,Credit Card,False,Weekday,salaried_low,2025-12,76976,12,19,Friday,False
user_001_v1,24,Software Engineer,85000,False,2025-12-25,-3429,Expense,Utilities,Electricity Board,Upi,True,Weekday,salaried_low,2025-12,73547,12,25,Thursday,False
user_001_v1,24,Software Engineer,85000,False,2026-01-01,85000,Income,Salary,Tech Corp,Bank Transfer,True,Weekday,salaried_low,2026-01,158547,1,1,Thursday,False
user_001_v1,24,Software Engineer,85000,False,2026-01-02,-5271,Expense,Travel,Travel Vendor,Credit Card,False,Weekday,salaried_low,2026-01,153276,1,2,Friday,False
user_001_v1,24,Software Engineer,85000,False,2026-01-05,-24134,Expense,Rent,Landlord,Bank Transfer,True,Weekday,salaried_low,2026-01,129142,1,5,Monday,False
user_001_v1,24,Software Engineer,85000,False,2026-01-05,-737,Expense,Health,Health Vendor,Upi,False,Weekday,salaried_low,2026-01,128405,1,5,Monday,False
user_001_v1,24,Software Engineer,85000,False,2026-01-06,-202,Expense,Transport,Transport Vendor,Cash,False,Weekday,salaried_low,2026-01,128203,1,6,Tuesday,False
user_001_v1,24,Software Engineer,85000,False,2026-01-08,-1001,Expense,Shopping,Shopping Vendor,Debit Card,False,Weekday,salaried_low,2026-01,127202,1,8,Thursday,False
user_001_v1,24,Software Engineer,85000,False,2026-01-10,-574,Expense,Subscriptions,Netflix,Upi,True,Weekend,salaried_low,2026-01,126628,1,10,Saturday,True
user_001_v1,24,Software Engineer,85000,False,2026-01-10,-370,Expense,Subscriptions,Spotify,Upi,True,Weekend,salaried_low,2026-01,126258,1,10,Saturday,True
user_001_v1,24,Software Engineer,85000,False,2026-01-12,-6148,Expense,Travel,Travel Vendor,Bank Transfer,False,Weekday,salaried_low,2026-01,120110,1,12,Monday,False
user_001_v1,24,Software Engineer,85000,False,2026-01-16,-8287,Expense,Investment,Mutual Fund,Upi,True,Weekday,salaried_low,2026-01,111823,1,16,Friday,False
user_001_v1,24,Software Engineer,85000,False,2026-01-22,-3702,Expense,Shopping,Shopping Vendor,Credit Card,False,Weekday,salaried_low,2026-01,108121,1,22,Thursday,False
